Initials,Group (choose from drop down),Trial #,Flavour,Reaction time (in sec),"Accuracy (0=incorrect, 1=correct)",,,,,,,,,,,,,,,,,,,,,
,experimental,2,coconut,39.41,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,grape,18.4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Tw,experimental,1,apple,13,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,lemon,12,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,cherry,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LEM,experimental,1,coconut,22.23,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,cherry,15.65,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,orange,6.4,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
AJM,control,1,grape,40,0,,,,,,,,,,,,,,,,,,,,,
,control,2,orange,7,1,,,,,,,,,,,,,,,,,,,,,
,control,3,banana,3,1,,,,,,,,,,,,,,,,,,,,,
ES,experimental,1,coconut,28,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,grape,5,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,orange,23,0,,,,,,,,,,,,,,,,,,,,,
JT,control,1,coconut,3.2,1,,,,,,,,,,,,,,,,,,,,,
JT,control,2,lemon,2.7,0,,,,,,,,,,,,,,,,,,,,,
JT,control,3,lemon,5.6,1,,,,,,,,,,,,,,,,,,,,,
KM,experimental,1,orange,8.7,1,,,,,,,,,,,,,,,,,,,,,
KM,experimental,2,lemon,12.91,0,,,,,,,,,,,,,,,,,,,,,
KM,experimental,3,raspberry,16.15,0,,,,,,,,,,,,,,,,,,,,,
MR,control,1,watermelon,32,0,,,,,,,,,,,,,,,,,,,,,
MR,control,2,lemon,5,1,,,,,,,,,,,,,,,,,,,,,
MR,control,3,grape,53,0,,,,,,,,,,,,,,,,,,,,,
MW,experimental,1,orange,14,0,,,,,,,,,,,,,,,,,,,,,
MW,experimental,2,grape,18.8,0,,,,,,,,,,,,,,,,,,,,,
MW,experimental,3,grape,27.7,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
EJS,control,1,Yellow White,13.06,0,,,,,,,,,,,,,,,,,,,,,
EJS,control,2,White,3.28,1,,,,,,,,,,,,,,,,,,,,,
EJS,control,3,Orange,7.23,1,,,,,,,,,,,,,,,,,,,,,
MLM,control,1,Orange,48,0,,,,,,,,,,,,,,,,,,,,,
MLM,control,1,Yellow Brown ,19,1,,,,,,,,,,,,,,,,,,,,,
